,name,business_status,rating,price_level,types,vicinity
100,Sai Café,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2010 N Sheffield Ave, Chicago"
101,The Galway Arms,OPERATIONAL,4.4,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2442 N Clark St, Chicago"
102,Broken English Taco Pub,OPERATIONAL,4.2,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2576 N Lincoln Ave, Chicago"
103,The Dime,OPERATIONAL,4.1,2.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","2263 N Lincoln Ave, Chicago"
104,Taco & Burrito Express,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2540 N Halsted St, Chicago"
105,Beck's Chicago,OPERATIONAL,4.7,,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2201 N Clybourn Ave, Chicago"
106,Tandoor Char House,OPERATIONAL,4.3,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","2652 N Halsted St, Chicago"
107,Wendy's,OPERATIONAL,3.9,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2312 N Ashland Ave, Chicago"
108,5411 Empanadas,OPERATIONAL,4.5,1.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","2850 N Clark St, Chicago"
109,Chicago Pizza and Oven Grinder Company,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2121 N Clark St, Chicago"
110,Duke Of Perth,OPERATIONAL,4.7,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2913 N Clark St, Chicago"
111,Riccardo Trattoria,OPERATIONAL,4.7,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2119 N Clark St, Chicago"
112,Circle Sushi & Grill,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1623 N Halsted St, Chicago"
113,1959 Kitchen & Bar,CLOSED_TEMPORARILY,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","230 W North Ave 2nd floor, Chicago"
114,Taco Bell,OPERATIONAL,4.1,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1439 N Milwaukee Ave, Chicago"
115,McDonald's,OPERATIONAL,3.8,1.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1737 W Fullerton Ave, Chicago"
116,Wilde Bar & Restaurant,OPERATIONAL,4.5,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","3130 N Broadway, Chicago"
117,Ranalli's Lincoln Park,OPERATIONAL,4.3,2.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1925 N Lincoln Ave, Chicago"
118,Conrad's Grill,OPERATIONAL,4.7,,"['restaurant', 'food', 'point_of_interest', 'establishment']","1422 N Milwaukee Ave, Chicago"
119,Portillo's Hot Dogs,OPERATIONAL,4.4,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 W Ontario St, Chicago"
120,Sai Café,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2010 N Sheffield Ave, Chicago"
121,The Galway Arms,OPERATIONAL,4.4,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2442 N Clark St, Chicago"
122,Broken English Taco Pub,OPERATIONAL,4.2,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2576 N Lincoln Ave, Chicago"
123,The Dime,OPERATIONAL,4.1,2.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","2263 N Lincoln Ave, Chicago"
124,Taco & Burrito Express,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2540 N Halsted St, Chicago"
125,Beck's Chicago,OPERATIONAL,4.7,,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2201 N Clybourn Ave, Chicago"
126,Tandoor Char House,OPERATIONAL,4.3,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","2652 N Halsted St, Chicago"
127,Wendy's,OPERATIONAL,3.9,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2312 N Ashland Ave, Chicago"
128,5411 Empanadas,OPERATIONAL,4.5,1.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","2850 N Clark St, Chicago"
129,Chicago Pizza and Oven Grinder Company,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2121 N Clark St, Chicago"
130,Duke Of Perth,OPERATIONAL,4.7,2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2913 N Clark St, Chicago"
131,Riccardo Trattoria,OPERATIONAL,4.7,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2119 N Clark St, Chicago"
132,Circle Sushi & Grill,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1623 N Halsted St, Chicago"
